"DateTime","(mm) Snow Depth (SNODAS) at 4005, 2009-11-01 to 2011-05-01"
"2009-11-01",11.0372
"2009-11-02",6.2216
"2009-11-03",2.1736
"2009-11-04",0.0581
"2009-11-05",0
"2009-11-06",0
"2009-11-07",0
"2009-11-08",0
"2009-11-09",0
"2009-11-10",0
"2009-11-11",0
"2009-11-12",0
"2009-11-13",0
"2009-11-14",0.0002
"2009-11-15",1.2246
"2009-11-16",3.2566
"2009-11-17",2.2911
"2009-11-18",1.6259
"2009-11-19",0.7171
"2009-11-20",0.0753
"2009-11-21",0.0142
"2009-11-22",0
"2009-11-23",0
"2009-11-24",0
"2009-11-25",0
"2009-11-26",0
"2009-11-27",0.0105
"2009-11-28",0
"2009-11-29",0.1048
"2009-11-30",4.3907
"2009-12-01",2.9396
"2009-12-02",1.303
"2009-12-03",0.5847
"2009-12-04",0.346
"2009-12-05",0.1968
"2009-12-06",0.0754
"2009-12-07",0.0136
"2009-12-08",38.0779
"2009-12-09",58.5679
"2009-12-10",54.6087
"2009-12-11",52.415
"2009-12-12",54.0514
"2009-12-13",58.235
"2009-12-14",36.7564
"2009-12-15",34.9351
"2009-12-16",33.8888
"2009-12-17",32.729
"2009-12-18",30.5848
"2009-12-19",28.4503
"2009-12-20",27.5127
"2009-12-21",26.5243
"2009-12-22",25.1121
"2009-12-23",72.644
"2009-12-24",96.326
"2009-12-25",88.6954
"2009-12-26",83.7004
"2009-12-27",80.4882
"2009-12-28",78.6503
"2009-12-29",75.8291
"2009-12-30",100.982
"2009-12-31",194.7247
"2010-01-01",182.4918
"2010-01-02",174.523
"2010-01-03",165.192
"2010-01-04",157.9116
"2010-01-05",153.886
"2010-01-06",149.4322
"2010-01-07",143.7603
"2010-01-08",136.8036
"2010-01-09",132.8527
"2010-01-10",129.8057
"2010-01-11",126.1614
"2010-01-12",121.9258
"2010-01-13",112.5377
"2010-01-14",104.6156
"2010-01-15",102.6313
"2010-01-16",99.7997
"2010-01-17",98.7384
"2010-01-18",96.1602
"2010-01-19",116.7009
"2010-01-20",136.8305
"2010-01-21",164.7593
"2010-01-22",255.5736
"2010-01-23",259.8701
"2010-01-24",286.4172
"2010-01-25",276.7711
"2010-01-26",279.4485
"2010-01-27",272.8852
"2010-01-28",273.4072
"2010-01-29",297.7592
"2010-01-30",291.0603
"2010-01-31",285.3891
"2010-02-01",280.1792
"2010-02-02",274.6359
"2010-02-03",270.4841
"2010-02-04",284.9404
"2010-02-05",279.7674
"2010-02-06",248.5277
"2010-02-07",230.956
"2010-02-08",252.6047
"2010-02-09",255.9677
"2010-02-10",251.2743
"2010-02-11",247.5363
"2010-02-12",242.0683
"2010-02-13",230.0998
"2010-02-14",211.9594
"2010-02-15",198.1471
"2010-02-16",192.5422
"2010-02-17",184.2808
"2010-02-18",178.8257
"2010-02-19",168.6083
"2010-02-20",142.6472
"2010-02-21",137.4862
"2010-02-22",165.1927
"2010-02-23",226.1225
"2010-02-24",230.3953
"2010-02-25",237.1491
"2010-02-26",216.1574
"2010-02-27",208.1087
"2010-02-28",188.8279
"2010-03-01",176.412
"2010-03-02",169.7775
"2010-03-03",160.8081
"2010-03-04",150.8187
"2010-03-05",126.3597
"2010-03-06",123.9927
"2010-03-07",115.0254
"2010-03-08",104.6486
"2010-03-09",102.3435
"2010-03-10",131.4306
"2010-03-11",150.7328
"2010-03-12",121.8575
"2010-03-13",109.9435
"2010-03-14",88.9271
"2010-03-15",97.5846
"2010-03-16",89.3761
"2010-03-17",78.8511
"2010-03-18",68.6435
"2010-03-19",59.8438
"2010-03-20",55.5833
"2010-03-21",54.6933
"2010-03-22",51.2407
"2010-03-23",46.1822
"2010-03-24",44.0252
"2010-03-25",43.0484
"2010-03-26",39.9219
"2010-03-27",39.4064
"2010-03-28",39.273
"2010-03-29",37.6656
"2010-03-30",34.9728
"2010-03-31",26.9668
"2010-04-01",21.5768
"2010-04-02",27.8904
"2010-04-03",26.3893
"2010-04-04",21.6847
"2010-04-05",19.1018
"2010-04-06",15.4205
"2010-04-07",14.1504
"2010-04-08",13.9396
"2010-04-09",13.4656
"2010-04-10",12.157
"2010-04-11",10.8547
"2010-04-12",9.3857
"2010-04-13",7.41
"2010-04-14",7.4586
"2010-04-15",6.2121
"2010-04-16",5.5469
"2010-04-17",4.673
"2010-04-18",4.0814
"2010-04-19",3.5993
"2010-04-20",2.4592
"2010-04-21",1.9424
"2010-04-22",1.5319
"2010-04-23",3.6726
"2010-04-24",2.1684
"2010-04-25",1.5039
"2010-04-26",1.2995
"2010-04-27",1.1869
"2010-04-28",0.8844
"2010-04-29",0.4739
"2010-04-30",1.1573
"2010-05-01",0.9325
"2010-05-02",0.4696
"2010-05-03",9.3617
"2010-05-04",0.474
"2010-05-05",0.3008
"2010-05-06",0.1694
"2010-05-07",0.0714
"2010-05-08",0.0628
"2010-05-09",0.0259
"2010-05-10",0.0088
"2010-05-11",0.0066
"2010-05-12",0.0054
"2010-05-13",0.005
"2010-05-14",0.0042
"2010-05-15",0.0023
"2010-05-16",0.0009
"2010-05-17",0
"2010-05-18",0
"2010-05-19",0
"2010-05-20",0
"2010-05-21",0
"2010-05-22",0
"2010-05-23",0
"2010-05-24",0
"2010-05-25",0
"2010-05-26",0
"2010-05-27",0
"2010-05-28",0
"2010-05-29",0
"2010-05-30",0
"2010-05-31",0
"2010-06-01",0
"2010-06-02",0
"2010-06-03",0
"2010-06-04",0
"2010-06-05",0
"2010-06-06",0
"2010-06-07",0
"2010-06-08",0
"2010-06-09",0
"2010-06-10",0
"2010-06-11",0
"2010-06-12",0
"2010-06-13",0
"2010-06-14",0
"2010-06-15",0
"2010-06-16",0
"2010-06-17",0
"2010-06-18",0
"2010-06-19",0
"2010-06-20",0
"2010-06-21",0
"2010-06-22",0
"2010-06-23",0
"2010-06-24",0
"2010-06-25",0
"2010-06-26",0
"2010-06-27",0
"2010-06-28",0
"2010-06-29",0
"2010-06-30",0
"2010-07-01",0
"2010-07-02",0
"2010-07-03",0
"2010-07-04",0
"2010-07-05",0
"2010-07-06",0
"2010-07-07",0
"2010-07-08",0
"2010-07-09",0
"2010-07-10",0
"2010-07-11",0
"2010-07-12",0
"2010-07-13",0
"2010-07-14",0
"2010-07-15",0
"2010-07-16",0
"2010-07-17",0
"2010-07-18",0
"2010-07-19",0
"2010-07-20",0
"2010-07-21",0
"2010-07-22",0
"2010-07-23",0
"2010-07-24",0
"2010-07-25",0
"2010-07-26",0
"2010-07-27",0
"2010-07-28",0
"2010-07-29",0
"2010-07-30",0
"2010-07-31",0
"2010-08-01",0
"2010-08-02",0
"2010-08-03",0
"2010-08-04",0
"2010-08-05",0
"2010-08-06",0
"2010-08-07",0
"2010-08-08",0
"2010-08-09",0
"2010-08-10",0
"2010-08-11",0
"2010-08-12",0
"2010-08-13",0
"2010-08-14",0
"2010-08-15",0
"2010-08-16",0
"2010-08-17",0
"2010-08-18",0
"2010-08-19",0
"2010-08-20",0
"2010-08-21",0
"2010-08-22",0
"2010-08-23",0
"2010-08-24",0
"2010-08-25",0
"2010-08-26",0
"2010-08-27",0
"2010-08-28",0
"2010-08-29",0
"2010-08-30",0
"2010-08-31",0
"2010-09-01",0
"2010-09-02",0
"2010-09-03",0
"2010-09-04",0
"2010-09-05",0
"2010-09-06",0
"2010-09-07",0
"2010-09-08",0
"2010-09-09",0
"2010-09-10",0
