"DateTime","(mm) Snow Depth (SNODAS) at Mount Powell, 2013-11-02 to 2015-11-01"
"2013-11-02",0
"2013-11-03",0
"2013-11-04",0
"2013-11-05",0
"2013-11-06",35.9024
"2013-11-07",25.6881
"2013-11-08",0
"2013-11-09",0
"2013-11-10",0
"2013-11-11",0
"2013-11-12",0
"2013-11-13",0
"2013-11-14",0
"2013-11-15",0
"2013-11-16",0
"2013-11-17",0
"2013-11-18",0
"2013-11-19",0
"2013-11-20",0
"2013-11-21",3.8473
"2013-11-22",0
"2013-11-23",21.2636
"2013-11-24",65.6005
"2013-11-25",141.206
"2013-11-26",142.3941
"2013-11-27",134.73
"2013-11-28",74.7794
"2013-11-29",40.5699
"2013-11-30",15.0284
"2013-12-01",5.7602
"2013-12-02",3.8428
"2013-12-03",0
"2013-12-04",0
"2013-12-05",31.4251
"2013-12-06",32.8283
"2013-12-07",26.5706
"2013-12-08",19.9284
"2013-12-09",61.7861
"2013-12-10",60.8549
"2013-12-11",54.1471
"2013-12-12",48.6402
"2013-12-13",22.8224
"2013-12-14",21.7559
"2013-12-15",17.1738
"2013-12-16",11.1221
"2013-12-17",0
"2013-12-18",0
"2013-12-19",0
"2013-12-20",0
"2013-12-21",38.8194
"2013-12-22",69.4708
"2013-12-23",62.758
"2013-12-24",56.9391
"2013-12-25",29.8958
"2013-12-26",23.7423
"2013-12-27",14.7328
"2013-12-28",11.2256
"2013-12-29",2.8817
"2013-12-30",1.5053
"2013-12-31",0.0089
"2014-01-01",0
"2014-01-02",0
"2014-01-03",0
"2014-01-04",0
"2014-01-05",0
"2014-01-06",0
"2014-01-07",0
"2014-01-08",0
"2014-01-09",0
"2014-01-10",0
"2014-01-11",0
"2014-01-12",0
"2014-01-13",0
"2014-01-14",0
"2014-01-15",0
"2014-01-16",0
"2014-01-17",0
"2014-01-18",0
"2014-01-19",0
"2014-01-20",0
"2014-01-21",0
"2014-01-22",0
"2014-01-23",0
"2014-01-24",0
"2014-01-25",0
"2014-01-26",0
"2014-01-27",0
"2014-01-28",0
"2014-01-29",0
"2014-01-30",0
"2014-01-31",0
"2014-02-01",24.2373
"2014-02-02",53.3939
"2014-02-03",45.5646
"2014-02-04",67.2514
"2014-02-05",71.7418
"2014-02-06",116.1468
"2014-02-07",122.5912
"2014-02-08",131.3653
"2014-02-09",26.1031
"2014-02-10",0
"2014-02-11",0
"2014-02-12",0
"2014-02-13",0
"2014-02-14",0
"2014-02-15",0
"2014-02-16",0
"2014-02-17",0
"2014-02-18",0
"2014-02-19",0
"2014-02-20",0
"2014-02-21",0
"2014-02-22",0
"2014-02-23",0
"2014-02-24",0
"2014-02-25",0
"2014-02-26",0
"2014-02-27",0
"2014-02-28",0
"2014-03-01",0
"2014-03-02",4.1085
"2014-03-03",29.4128
"2014-03-04",9.7483
"2014-03-05",0.3933
"2014-03-06",0.0104
"2014-03-07",0
"2014-03-08",0
"2014-03-09",0
"2014-03-10",0
"2014-03-11",0
"2014-03-12",0
"2014-03-13",0
"2014-03-14",0
"2014-03-15",4.2375
"2014-03-16",0.09
"2014-03-17",0
"2014-03-18",0
"2014-03-19",0
"2014-03-20",0
"2014-03-21",0
"2014-03-22",0
"2014-03-23",0
"2014-03-24",0
"2014-03-25",0
"2014-03-26",0
"2014-03-27",0
"2014-03-28",0
"2014-03-29",0
"2014-03-30",0
"2014-03-31",0
