"DateTime","(mm) Snow Depth (SNODAS) at Defiance Plateau, 2011-11-02 to 2013-11-01"
"2011-11-02",0
"2011-11-03",0
"2011-11-04",0
"2011-11-05",0
"2011-11-06",34.578
"2011-11-07",28.1538
"2011-11-08",64.2582
"2011-11-09",88.43
"2011-11-10",77.9966
"2011-11-11",66.9232
"2011-11-12",55.8382
"2011-11-13",0.5999
"2011-11-14",0
"2011-11-15",0
"2011-11-16",0
"2011-11-17",0
"2011-11-18",0
"2011-11-19",0
"2011-11-20",0
"2011-11-21",0
"2011-11-22",5.3701
"2011-11-23",1.7689
"2011-11-24",0
"2011-11-25",0
"2011-11-26",0
"2011-11-27",0
"2011-11-28",0
"2011-11-29",0
"2011-11-30",0
"2011-12-01",0
"2011-12-02",4.1801
"2011-12-03",101.6361
"2011-12-04",163.2239
"2011-12-05",152.666
"2011-12-06",169.0964
"2011-12-07",154.4304
"2011-12-08",59.4669
"2011-12-09",51.9223
"2011-12-10",43.7593
"2011-12-11",36.9997
"2011-12-12",29.4132
"2011-12-13",76.7825
"2011-12-14",83.1097
"2011-12-15",130.7686
"2011-12-16",101.9665
"2011-12-17",88.4769
"2011-12-18",75.1702
"2011-12-19",58.4794
"2011-12-20",85.6278
"2011-12-21",114.4253
"2011-12-22",109.0119
"2011-12-23",133.9606
"2011-12-24",128.3925
"2011-12-25",113.6764
"2011-12-26",102.4429
"2011-12-27",94.1579
"2011-12-28",77.4138
"2011-12-29",66.1847
"2011-12-30",28.1012
"2011-12-31",7.9879
"2012-01-01",2.648
"2012-01-02",1.8283
"2012-01-03",0.7652
"2012-01-04",51.756
"2012-01-05",33.9499
"2012-01-06",19.8619
"2012-01-07",10.5478
"2012-01-08",8.0809
"2012-01-09",19.4117
"2012-01-10",13.143
"2012-01-11",5.9315
"2012-01-12",2.1388
"2012-01-13",1.1753
"2012-01-14",0.6218
"2012-01-15",0.4183
"2012-01-16",0.6669
"2012-01-17",98.7724
"2012-01-18",113.5494
"2012-01-19",71.9924
"2012-01-20",5.7876
"2012-01-21",0.8283
"2012-01-22",41.0786
"2012-01-23",68.6697
"2012-01-24",121.4223
"2012-01-25",118.3715
"2012-01-26",95.5716
"2012-01-27",50.3605
"2012-01-28",38.1537
"2012-01-29",30.9419
"2012-01-30",25.8572
"2012-01-31",15.7169
"2012-02-01",12.6408
"2012-02-02",12.7968
"2012-02-03",15.5827
"2012-02-04",37.5509
"2012-02-05",31.2961
"2012-02-06",24.4267
"2012-02-07",26.8319
"2012-02-08",20.6005
"2012-02-09",16.4453
