"DateTime","(mm) Snow Depth (SNODAS) at Defiance Plateau, 2009-11-02 to 2011-11-01"
"2009-11-02",5.1095
"2009-11-03",0.1684
"2009-11-04",0
"2009-11-05",0
"2009-11-06",0
"2009-11-07",0
"2009-11-08",0
"2009-11-09",0
"2009-11-10",0
"2009-11-11",0
"2009-11-12",0
"2009-11-13",0
"2009-11-14",0
"2009-11-15",3.1738
"2009-11-16",5.3149
"2009-11-17",1.6927
"2009-11-18",0.2527
"2009-11-19",0.0006
"2009-11-20",0
"2009-11-21",0
"2009-11-22",0
"2009-11-23",0
"2009-11-24",0
"2009-11-25",0
"2009-11-26",0
"2009-11-27",0
"2009-11-28",0
"2009-11-29",0
"2009-11-30",12.069
"2009-12-01",3.7644
"2009-12-02",0.9547
"2009-12-03",0.1809
"2009-12-04",0.0413
"2009-12-05",0.0029
"2009-12-06",0
"2009-12-07",0
"2009-12-08",159.0884
"2009-12-09",229.632
"2009-12-10",206.2329
"2009-12-11",189.9476
"2009-12-12",179.771
"2009-12-13",169.318
"2009-12-14",172.1492
"2009-12-15",161.7933
"2009-12-16",153.5651
"2009-12-17",145.8514
"2009-12-18",135.3168
"2009-12-19",126.4512
"2009-12-20",120.9981
"2009-12-21",114.3723
"2009-12-22",106.6302
"2009-12-23",200.8156
"2009-12-24",243.7065
"2009-12-25",227.2733
"2009-12-26",214.7134
"2009-12-27",205.1822
"2009-12-28",197.8077
"2009-12-29",188.2156
"2009-12-30",239.7888
"2009-12-31",400.0239
"2010-01-01",392.3854
"2010-01-02",367.9991
"2010-01-03",345.6508
"2010-01-04",327.6337
"2010-01-05",314.8029
"2010-01-06",303.0623
"2010-01-07",286.6619
"2010-01-08",273.7661
"2010-01-09",262.427
"2010-01-10",253.0204
"2010-01-11",243.9831
"2010-01-12",233.409
"2010-01-13",220.3009
"2010-01-14",211.126
"2010-01-15",214.0017
"2010-01-16",205.6522
"2010-01-17",199.7834
"2010-01-18",192.7316
"2010-01-19",252.027
"2010-01-20",307.2789
"2010-01-21",396.0481
"2010-01-22",611.7827
