"DateTime","(mm) Snow Depth (SNODAS) at Defiance Plateau, 2013-11-02 to 2015-11-01"
"2013-11-02",0
"2013-11-03",0
"2013-11-04",0
"2013-11-05",0
"2013-11-06",14.3663
"2013-11-07",6.9422
"2013-11-08",0
"2013-11-09",0
"2013-11-10",0
"2013-11-11",0
"2013-11-12",0
"2013-11-13",0
"2013-11-14",0
"2013-11-15",0
"2013-11-16",0
"2013-11-17",0
"2013-11-18",0
"2013-11-19",0
"2013-11-20",0
"2013-11-21",0
"2013-11-22",0
"2013-11-23",50.539
"2013-11-24",86.582
"2013-11-25",258.4656
"2013-11-26",240.1129
"2013-11-27",223.864
"2013-11-28",109.6389
"2013-11-29",103.6916
"2013-11-30",96.6437
"2013-12-01",93.2648
"2013-12-02",91.8173
"2013-12-03",72.4665
"2013-12-04",9.0264
"2013-12-05",31.1287
"2013-12-06",29.1804
"2013-12-07",25.0399
"2013-12-08",26.5742
"2013-12-09",126.0272
"2013-12-10",116.6992
"2013-12-11",108.149
"2013-12-12",99.4435
"2013-12-13",89.7537
"2013-12-14",82.3311
"2013-12-15",74.6777
"2013-12-16",66.4485
"2013-12-17",56.3825
"2013-12-18",50.6802
"2013-12-19",41.5704
"2013-12-20",20.0656
"2013-12-21",21.4174
"2013-12-22",48.3717
"2013-12-23",42.6623
"2013-12-24",37.8821
"2013-12-25",31.5297
"2013-12-26",25.8671
"2013-12-27",21.8654
"2013-12-28",19.9112
"2013-12-29",17.4505
"2013-12-30",15.165
"2013-12-31",13.0263
"2014-01-01",11.1856
"2014-01-02",7.3262
"2014-01-03",6.2909
"2014-01-04",3.2021
"2014-01-05",0.628
"2014-01-06",0.3665
"2014-01-07",0.2836
"2014-01-08",0.2285
"2014-01-09",0.171
"2014-01-10",0.0965
"2014-01-11",0.0168
"2014-01-12",0
"2014-01-13",0
"2014-01-14",0
"2014-01-15",0
"2014-01-16",0
"2014-01-17",0
"2014-01-18",0
"2014-01-19",0
"2014-01-20",0
"2014-01-21",0
"2014-01-22",0
"2014-01-23",0
"2014-01-24",0
"2014-01-25",0
"2014-01-26",0
"2014-01-27",0
"2014-01-28",0
"2014-01-29",0
"2014-01-30",0
"2014-01-31",0
"2014-02-01",25.726
"2014-02-02",33.7625
"2014-02-03",27.8329
"2014-02-04",59.2802
"2014-02-05",56.9064
"2014-02-06",54.339
"2014-02-07",73.0622
"2014-02-08",92.4449
"2014-02-09",55.8013
"2014-02-10",0.0007
"2014-02-11",0
"2014-02-12",0
"2014-02-13",0
"2014-02-14",0
"2014-02-15",0
"2014-02-16",0
"2014-02-17",0
"2014-02-18",0
"2014-02-19",0
"2014-02-20",0
"2014-02-21",0
"2014-02-22",0
"2014-02-23",0
"2014-02-24",0
"2014-02-25",0
"2014-02-26",0
"2014-02-27",0
"2014-02-28",0
"2014-03-01",0
"2014-03-02",61.4335
"2014-03-03",158.1737
"2014-03-04",117.0591
"2014-03-05",47.7305
"2014-03-06",24.2454
"2014-03-07",0.4168
"2014-03-08",0.0015
"2014-03-09",0
"2014-03-10",0
"2014-03-11",0
"2014-03-12",0
"2014-03-13",0
"2014-03-14",0
"2014-03-15",2.2715
"2014-03-16",0
"2014-03-17",0
"2014-03-18",0
"2014-03-19",0
"2014-03-20",0
"2014-03-21",0
"2014-03-22",0
"2014-03-23",0
"2014-03-24",0
"2014-03-25",0
"2014-03-26",0
