"DateTime","(mm) Snow Depth (SNODAS) at Defiance Plateau, 2015-11-02 to 2017-11-01"
"2015-11-02",0
"2015-11-03",0
"2015-11-04",0
"2015-11-05",55.4056
"2015-11-06",88.5662
"2015-11-07",80.0083
"2015-11-08",64.1034
"2015-11-09",31.3873
"2015-11-10",0
"2015-11-11",19.5201
"2015-11-12",13.2671
"2015-11-13",4.7451
"2015-11-14",0.0139
"2015-11-15",0
"2015-11-16",0
"2015-11-17",136.9174
"2015-11-18",141.7144
"2015-11-19",110.9697
"2015-11-20",99.2201
"2015-11-21",28.5504
"2015-11-22",21.6611
"2015-11-23",18.2775
"2015-11-24",13.0946
"2015-11-25",0.0197
"2015-11-26",0
"2015-11-27",0
"2015-11-28",0
"2015-11-29",0
"2015-11-30",0
"2015-12-01",0
"2015-12-02",0
"2015-12-03",0
"2015-12-04",0
"2015-12-05",0
"2015-12-06",0
"2015-12-07",0
"2015-12-08",0
"2015-12-09",0
"2015-12-10",0
"2015-12-11",0
"2015-12-12",11.469
"2015-12-13",143.1266
"2015-12-14",122.8047
"2015-12-15",162.112
"2015-12-16",154.531
"2015-12-17",146.2223
"2015-12-18",138.5866
"2015-12-19",130.1739
"2015-12-20",112.0386
"2015-12-21",127.5373
"2015-12-22",129.7427
"2015-12-23",183.0256
"2015-12-24",267.1327
"2015-12-25",263.8627
"2015-12-26",298.3064
"2015-12-27",284.329
"2015-12-28",272.6199
"2015-12-29",264.1205
"2015-12-30",266.3913
"2015-12-31",258.5723
"2016-01-01",251.8775
"2016-01-02",247.5229
"2016-01-03",241.0994
"2016-01-04",231.1572
"2016-01-05",253.9403
"2016-01-06",278.3511
"2016-01-07",361.5339
"2016-01-08",431.5698
"2016-01-09",467.2968
"2016-01-10",447.7105
"2016-01-11",434.4683
"2016-01-12",419.6857
"2016-01-13",405.0186
"2016-01-14",392.4742
"2016-01-15",377.6445
"2016-01-16",407.051
"2016-01-17",396.1828
"2016-01-18",378.2282
"2016-01-19",359.176
"2016-01-20",359.3973
"2016-01-21",355.6701
"2016-01-22",344.6894
"2016-01-23",337.9957
"2016-01-24",321.8318
"2016-01-25",311.0116
"2016-01-26",305.5318
"2016-01-27",299.6094
"2016-01-28",293.1126
"2016-01-29",287.046
"2016-01-30",266.5246
"2016-01-31",178.6764
"2016-02-01",148.0406
"2016-02-02",251.6766
"2016-02-03",254.9457
"2016-02-04",248.479
"2016-02-05",243.679
"2016-02-06",237.0073
"2016-02-07",231.2739
"2016-02-08",211.0834
"2016-02-09",171.849
"2016-02-10",152.0595
"2016-02-11",131.3963
"2016-02-12",110.687
"2016-02-13",91.6342
"2016-02-14",53.3712
"2016-02-15",37.1434
"2016-02-16",21.0296
"2016-02-17",12.1581
"2016-02-18",0.2567
"2016-02-19",0
"2016-02-20",0
"2016-02-21",0
"2016-02-22",0
"2016-02-23",0
"2016-02-24",0
"2016-02-25",0
"2016-02-26",0
"2016-02-27",0
"2016-02-28",0
"2016-02-29",0
"2016-03-01",0
"2016-03-02",0
"2016-03-03",0
"2016-03-04",0
"2016-03-05",0
"2016-03-06",0
"2016-03-07",0
"2016-03-08",0
"2016-03-09",0
"2016-03-10",0
"2016-03-11",0
"2016-03-12",0
"2016-03-13",0
"2016-03-14",0
"2016-03-15",0
"2016-03-16",0
"2016-03-17",0
"2016-03-18",0
"2016-03-19",0
"2016-03-20",0
"2016-03-21",0
"2016-03-22",0
"2016-03-23",0
"2016-03-24",0
"2016-03-25",0
"2016-03-26",0
"2016-03-27",0
"2016-03-28",0
"2016-03-29",0
"2016-03-30",11.4166
"2016-03-31",7.6973
"2016-04-01",0.92
"2016-04-02",0
"2016-04-03",0
"2016-04-04",0
"2016-04-05",0
"2016-04-06",0
"2016-04-07",0
"2016-04-08",0
"2016-04-09",0
"2016-04-10",0
"2016-04-11",0
"2016-04-12",0
"2016-04-13",0
"2016-04-14",0
"2016-04-15",0
"2016-04-16",48.3527
"2016-04-17",124.2324
"2016-04-18",116.4968
"2016-04-19",42.0452
"2016-04-20",1.6154
"2016-04-21",0
"2016-04-22",0
"2016-04-23",0
"2016-04-24",0
"2016-04-25",0
"2016-04-26",0
"2016-04-27",0
"2016-04-28",0
"2016-04-29",0
"2016-04-30",0
"2016-05-01",0
"2016-05-02",17.4601
"2016-05-03",4.8205
"2016-05-04",0
"2016-05-05",0
"2016-05-06",0
"2016-05-07",0
"2016-05-08",0
"2016-05-09",0
"2016-05-10",0
"2016-05-11",0
"2016-05-12",0
"2016-05-13",0
"2016-05-14",0
"2016-05-15",0
"2016-05-16",0
"2016-05-17",0
"2016-05-18",0
"2016-05-19",0
"2016-05-20",0
"2016-05-21",0
"2016-05-22",0
"2016-05-23",0
"2016-05-24",0
"2016-05-25",0
"2016-05-26",0
"2016-05-27",0
"2016-05-28",0
"2016-05-29",0
"2016-05-30",0
"2016-05-31",0
"2016-06-01",0
"2016-06-02",0
"2016-06-03",0
"2016-06-04",0
"2016-06-05",0
"2016-06-06",0
"2016-06-07",0
"2016-06-08",0
"2016-06-09",0
"2016-06-10",0
"2016-06-11",0
"2016-06-12",0
"2016-06-13",0
"2016-06-14",0
"2016-06-15",0
"2016-06-16",0
"2016-06-17",0
"2016-06-18",0
"2016-06-19",0
"2016-06-20",0
"2016-06-21",0
"2016-06-22",0
"2016-06-23",0
"2016-06-24",0
"2016-06-25",0
"2016-06-26",0
"2016-06-27",0
"2016-06-28",0
"2016-06-29",0
"2016-06-30",0
"2016-07-01",0
"2016-07-02",0
"2016-07-03",0
"2016-07-04",0
"2016-07-05",0
"2016-07-06",0
"2016-07-07",0
"2016-07-08",0
"2016-07-09",0
"2016-07-10",0
"2016-07-11",0
"2016-07-12",0
"2016-07-13",0
"2016-07-14",0
"2016-07-15",0
"2016-07-16",0
"2016-07-17",0
"2016-07-18",0
"2016-07-19",0
"2016-07-20",0
"2016-07-21",0
"2016-07-22",0
"2016-07-23",0
"2016-07-24",0
"2016-07-25",0
"2016-07-26",0
"2016-07-27",0
"2016-07-28",0
"2016-07-29",0
"2016-07-30",0
"2016-07-31",0
"2016-08-01",0
"2016-08-02",0
"2016-08-03",0
"2016-08-04",0
"2016-08-05",0
"2016-08-06",0
"2016-08-07",0
"2016-08-08",0
"2016-08-09",0
"2016-08-10",0
"2016-08-11",0
"2016-08-12",0
"2016-08-13",0
"2016-08-14",0
"2016-08-15",0
"2016-08-16",0
"2016-08-17",0
"2016-08-18",0
"2016-08-19",0
"2016-08-20",0
"2016-08-21",0
"2016-08-22",0
"2016-08-23",0
"2016-08-24",0
"2016-08-25",0
"2016-08-26",0
"2016-08-27",0
"2016-08-28",0
"2016-08-29",0
"2016-08-30",0
"2016-08-31",0
"2016-09-01",0
"2016-09-02",0
"2016-09-03",0
"2016-09-04",0
"2016-09-05",0
"2016-09-06",0
"2016-09-07",0
"2016-09-08",0
"2016-09-09",0
"2016-09-10",0
"2016-09-11",0
"2016-09-12",0
"2016-09-13",0
"2016-09-14",0
"2016-09-15",0
"2016-09-16",0
"2016-09-17",0
"2016-09-18",0
"2016-09-19",0
"2016-09-20",0
"2016-09-21",0
"2016-09-22",0
"2016-09-23",0
"2016-09-24",0
"2016-09-25",0
"2016-09-26",0
"2016-09-27",0
"2016-09-28",0
"2016-09-29",0
"2016-09-30",0
"2016-10-01",0
"2016-10-02",0
"2016-10-03",0
"2016-10-04",0
"2016-10-05",0
"2016-10-06",0
"2016-10-07",0
"2016-10-08",0
"2016-10-09",0
"2016-10-10",0
