"DateTime","(mm) SWE (SNODAS) at Defiance Plateau, 2015-11-02 to 2017-11-01"
"2015-11-02",0
"2015-11-03",0
"2015-11-04",0
"2015-11-05",7.4347
"2015-11-06",11.4853
"2015-11-07",11.1221
"2015-11-08",9.7856
"2015-11-09",6.212
"2015-11-10",0
"2015-11-11",2.1277
"2015-11-12",1.5459
"2015-11-13",0.6291
"2015-11-14",0.0022
"2015-11-15",0
"2015-11-16",0
"2015-11-17",15.4474
"2015-11-18",17.551
"2015-11-19",16.082
"2015-11-20",15.3559
"2015-11-21",7.7663
"2015-11-22",5.7515
"2015-11-23",4.8352
"2015-11-24",3.437
"2015-11-25",0.0059
"2015-11-26",0
"2015-11-27",0
"2015-11-28",0
"2015-11-29",0
"2015-11-30",0
"2015-12-01",0
"2015-12-02",0
"2015-12-03",0
"2015-12-04",0
"2015-12-05",0
"2015-12-06",0
"2015-12-07",0
"2015-12-08",0
"2015-12-09",0
"2015-12-10",0
"2015-12-11",0
"2015-12-12",1.2488
"2015-12-13",16.4677
"2015-12-14",15.571
"2015-12-15",20.3727
"2015-12-16",20.5854
"2015-12-17",20.4015
"2015-12-18",20.1085
"2015-12-19",19.5412
"2015-12-20",17.7548
"2015-12-21",19.1558
"2015-12-22",19.7638
"2015-12-23",26.2789
"2015-12-24",37.9088
"2015-12-25",38.9819
"2015-12-26",44.1401
"2015-12-27",43.7444
"2015-12-28",43.3058
"2015-12-29",43.0993
"2015-12-30",43.9551
"2015-12-31",43.6778
"2016-01-01",43.3875
"2016-01-02",43.3531
"2016-01-03",42.9985
"2016-01-04",42.0675
"2016-01-05",44.8191
"2016-01-06",48.2062
"2016-01-07",58.1005
"2016-01-08",67.2022
"2016-01-09",73.1181
"2016-01-10",73.1366
"2016-01-11",73.2656
"2016-01-12",72.8535
"2016-01-13",72.2033
"2016-01-14",71.6349
"2016-01-15",70.4807
"2016-01-16",73.998
"2016-01-17",73.6399
"2016-01-18",72.6376
"2016-01-19",71.1195
"2016-01-20",71.4457
"2016-01-21",71.4528
"2016-01-22",70.4257
"2016-01-23",69.9326
"2016-01-24",68.205
"2016-01-25",66.6688
"2016-01-26",66.0445
"2016-01-27",65.2668
"2016-01-28",64.3668
"2016-01-29",63.5557
"2016-01-30",61.2785
"2016-01-31",50.6512
"2016-02-01",41.6712
"2016-02-02",52.9698
"2016-02-03",53.6392
"2016-02-04",53.1424
"2016-02-05",52.7882
"2016-02-06",52.1222
"2016-02-07",51.5235
"2016-02-08",49.5352
"2016-02-09",43.7233
"2016-02-10",39.6199
"2016-02-11",35.4074
"2016-02-12",30.8931
"2016-02-13",26.4914
"2016-02-14",15.7387
"2016-02-15",11.0099
"2016-02-16",6.1383
"2016-02-17",3.517
"2016-02-18",0.0797
"2016-02-19",0
"2016-02-20",0
"2016-02-21",0
"2016-02-22",0
"2016-02-23",0
"2016-02-24",0
"2016-02-25",0
"2016-02-26",0
"2016-02-27",0
"2016-02-28",0
"2016-02-29",0
"2016-03-01",0
"2016-03-02",0
"2016-03-03",0
"2016-03-04",0
"2016-03-05",0
"2016-03-06",0
"2016-03-07",0
"2016-03-08",0
"2016-03-09",0
"2016-03-10",0
"2016-03-11",0
"2016-03-12",0
"2016-03-13",0
"2016-03-14",0
"2016-03-15",0
"2016-03-16",0
"2016-03-17",0
"2016-03-18",0
"2016-03-19",0
"2016-03-20",0
"2016-03-21",0
"2016-03-22",0
"2016-03-23",0
"2016-03-24",0
"2016-03-25",0
"2016-03-26",0
"2016-03-27",0
"2016-03-28",0
"2016-03-29",0
"2016-03-30",1.5069
"2016-03-31",1.0285
"2016-04-01",0.1207
"2016-04-02",0
"2016-04-03",0
"2016-04-04",0
"2016-04-05",0
"2016-04-06",0
"2016-04-07",0
"2016-04-08",0
"2016-04-09",0
"2016-04-10",0
"2016-04-11",0
"2016-04-12",0
"2016-04-13",0
"2016-04-14",0
"2016-04-15",0
"2016-04-16",5.8711
"2016-04-17",15.2238
"2016-04-18",15.5425
"2016-04-19",8.5032
"2016-04-20",0.4493
"2016-04-21",0
"2016-04-22",0
"2016-04-23",0
"2016-04-24",0
"2016-04-25",0
"2016-04-26",0
"2016-04-27",0
"2016-04-28",0
"2016-04-29",0
"2016-04-30",0
"2016-05-01",0
"2016-05-02",5.0201
"2016-05-03",1.2725
"2016-05-04",0
"2016-05-05",0
"2016-05-06",0
"2016-05-07",0
"2016-05-08",0
"2016-05-09",0
"2016-05-10",0
"2016-05-11",0
"2016-05-12",0
"2016-05-13",0
"2016-05-14",0
"2016-05-15",0
"2016-05-16",0
"2016-05-17",0
"2016-05-18",0
"2016-05-19",0
"2016-05-20",0
"2016-05-21",0
"2016-05-22",0
"2016-05-23",0
"2016-05-24",0
"2016-05-25",0
"2016-05-26",0
"2016-05-27",0
"2016-05-28",0
"2016-05-29",0
"2016-05-30",0
"2016-05-31",0
"2016-06-01",0
"2016-06-02",0
"2016-06-03",0
"2016-06-04",0
"2016-06-05",0
"2016-06-06",0
"2016-06-07",0
"2016-06-08",0
"2016-06-09",0
"2016-06-10",0
"2016-06-11",0
"2016-06-12",0
"2016-06-13",0
"2016-06-14",0
"2016-06-15",0
"2016-06-16",0
"2016-06-17",0
"2016-06-18",0
"2016-06-19",0
"2016-06-20",0
"2016-06-21",0
"2016-06-22",0
"2016-06-23",0
"2016-06-24",0
"2016-06-25",0
"2016-06-26",0
"2016-06-27",0
"2016-06-28",0
"2016-06-29",0
"2016-06-30",0
"2016-07-01",0
"2016-07-02",0
"2016-07-03",0
"2016-07-04",0
"2016-07-05",0
"2016-07-06",0
"2016-07-07",0
"2016-07-08",0
"2016-07-09",0
"2016-07-10",0
"2016-07-11",0
"2016-07-12",0
"2016-07-13",0
"2016-07-14",0
"2016-07-15",0
"2016-07-16",0
"2016-07-17",0
"2016-07-18",0
"2016-07-19",0
"2016-07-20",0
"2016-07-21",0
"2016-07-22",0
"2016-07-23",0
"2016-07-24",0
"2016-07-25",0
"2016-07-26",0
"2016-07-27",0
"2016-07-28",0
"2016-07-29",0
"2016-07-30",0
"2016-07-31",0
"2016-08-01",0
"2016-08-02",0
"2016-08-03",0
"2016-08-04",0
"2016-08-05",0
"2016-08-06",0
"2016-08-07",0
"2016-08-08",0
"2016-08-09",0
"2016-08-10",0
"2016-08-11",0
"2016-08-12",0
"2016-08-13",0
"2016-08-14",0
"2016-08-15",0
"2016-08-16",0
"2016-08-17",0
"2016-08-18",0
"2016-08-19",0
"2016-08-20",0
"2016-08-21",0
"2016-08-22",0
"2016-08-23",0
"2016-08-24",0
"2016-08-25",0
"2016-08-26",0
"2016-08-27",0
"2016-08-28",0
"2016-08-29",0
"2016-08-30",0
"2016-08-31",0
"2016-09-01",0
"2016-09-02",0
"2016-09-03",0
"2016-09-04",0
"2016-09-05",0
"2016-09-06",0
"2016-09-07",0
"2016-09-08",0
"2016-09-09",0
"2016-09-10",0
"2016-09-11",0
"2016-09-12",0
"2016-09-13",0
"2016-09-14",0
"2016-09-15",0
"2016-09-16",0
"2016-09-17",0
"2016-09-18",0
"2016-09-19",0
"2016-09-20",0
"2016-09-21",0
"2016-09-22",0
"2016-09-23",0
"2016-09-24",0
"2016-09-25",0
"2016-09-26",0
"2016-09-27",0
"2016-09-28",0
"2016-09-29",0
"2016-09-30",0
"2016-10-01",0
"2016-10-02",0
"2016-10-03",0
"2016-10-04",0
"2016-10-05",0
"2016-10-06",0
"2016-10-07",0
"2016-10-08",0
"2016-10-09",0
"2016-10-10",0
