"DateTime","(mm) SWE (SNODAS) at Defiance Plateau, 2013-11-02 to 2015-11-01"
"2013-11-02",0
"2013-11-03",0
"2013-11-04",0
"2013-11-05",0
"2013-11-06",1.798
"2013-11-07",0.9292
"2013-11-08",0
"2013-11-09",0
"2013-11-10",0
"2013-11-11",0
"2013-11-12",0
"2013-11-13",0
"2013-11-14",0
"2013-11-15",0
"2013-11-16",0
"2013-11-17",0
"2013-11-18",0
"2013-11-19",0
"2013-11-20",0
"2013-11-21",0
"2013-11-22",0
"2013-11-23",7.4604
"2013-11-24",12.1366
"2013-11-25",31.5038
"2013-11-26",31.9656
"2013-11-27",31.767
"2013-11-28",16.3212
"2013-11-29",15.957
"2013-11-30",15.405
"2013-12-01",15.2165
"2013-12-02",15.2369
"2013-12-03",13.4768
"2013-12-04",2.629
"2013-12-05",4.7505
"2013-12-06",4.6337
"2013-12-07",4.1462
"2013-12-08",4.0481
"2013-12-09",14.9796
"2013-12-10",14.9005
"2013-12-11",14.5706
"2013-12-12",14.0398
"2013-12-13",13.2099
"2013-12-14",12.5299
"2013-12-15",11.6799
"2013-12-16",10.6547
"2013-12-17",9.2742
"2013-12-18",8.4995
"2013-12-19",7.2467
"2013-12-20",4.3289
"2013-12-21",4.4164
"2013-12-22",7.2158
"2013-12-23",6.7239
"2013-12-24",6.2569
"2013-12-25",5.4295
"2013-12-26",4.6235
"2013-12-27",4.0254
"2013-12-28",3.7208
"2013-12-29",3.3113
"2013-12-30",2.8948
"2013-12-31",2.5163
"2014-01-01",2.1968
"2014-01-02",1.5032
"2014-01-03",1.3058
"2014-01-04",0.7032
"2014-01-05",0.1533
"2014-01-06",0.0875
"2014-01-07",0.0693
"2014-01-08",0.0577
"2014-01-09",0.0438
"2014-01-10",0.0241
"2014-01-11",0.0044
"2014-01-12",0
"2014-01-13",0
"2014-01-14",0
"2014-01-15",0
"2014-01-16",0
"2014-01-17",0
"2014-01-18",0
"2014-01-19",0
"2014-01-20",0
"2014-01-21",0
"2014-01-22",0
"2014-01-23",0
"2014-01-24",0
"2014-01-25",0
"2014-01-26",0
"2014-01-27",0
"2014-01-28",0
"2014-01-29",0
"2014-01-30",0
"2014-01-31",0
"2014-02-01",3.6613
"2014-02-02",4.4915
"2014-02-03",3.8748
"2014-02-04",7.2439
"2014-02-05",7.2547
"2014-02-06",7.2058
"2014-02-07",9.2651
"2014-02-08",11.8493
"2014-02-09",9.077
"2014-02-10",0
"2014-02-11",0
"2014-02-12",0
"2014-02-13",0
"2014-02-14",0
"2014-02-15",0
"2014-02-16",0
"2014-02-17",0
"2014-02-18",0
"2014-02-19",0
"2014-02-20",0
"2014-02-21",0
"2014-02-22",0
"2014-02-23",0
"2014-02-24",0
"2014-02-25",0
"2014-02-26",0
"2014-02-27",0
"2014-02-28",0
"2014-03-01",0
"2014-03-02",8.1824
"2014-03-03",21.1276
"2014-03-04",19.2176
"2014-03-05",11.867
"2014-03-06",6.1913
"2014-03-07",0.1704
"2014-03-08",0.0007
"2014-03-09",0
"2014-03-10",0
"2014-03-11",0
"2014-03-12",0
"2014-03-13",0
"2014-03-14",0
"2014-03-15",0.4932
"2014-03-16",0
"2014-03-17",0
"2014-03-18",0
"2014-03-19",0
"2014-03-20",0
"2014-03-21",0
"2014-03-22",0
"2014-03-23",0
"2014-03-24",0
"2014-03-25",0
"2014-03-26",0
