"DateTime","(mm) SWE (SNODAS) at Defiance Plateau, 2009-11-02 to 2011-11-01"
"2009-11-02",0.7716
"2009-11-03",0.0499
"2009-11-04",0
"2009-11-05",0
"2009-11-06",0
"2009-11-07",0
"2009-11-08",0
"2009-11-09",0
"2009-11-10",0
"2009-11-11",0
"2009-11-12",0
"2009-11-13",0
"2009-11-14",0
"2009-11-15",0.7879
"2009-11-16",0.7466
"2009-11-17",0.2113
"2009-11-18",0.0329
"2009-11-19",0.0001
"2009-11-20",0
"2009-11-21",0
"2009-11-22",0
"2009-11-23",0
"2009-11-24",0
"2009-11-25",0
"2009-11-26",0
"2009-11-27",0
"2009-11-28",0
"2009-11-29",0
"2009-11-30",1.3696
"2009-12-01",0.4685
"2009-12-02",0.1305
"2009-12-03",0.0243
"2009-12-04",0.0051
"2009-12-05",0.0007
"2009-12-06",0
"2009-12-07",0
"2009-12-08",16.7696
"2009-12-09",27.3466
"2009-12-10",26.7058
"2009-12-11",26.067
"2009-12-12",25.7623
"2009-12-13",25.2523
"2009-12-14",27.6
"2009-12-15",26.6599
"2009-12-16",25.8257
"2009-12-17",25.0142
"2009-12-18",23.7316
"2009-12-19",22.5227
"2009-12-20",21.814
"2009-12-21",20.8899
"2009-12-22",19.7229
"2009-12-23",29.0378
"2009-12-24",34.6675
"2009-12-25",33.9136
"2009-12-26",33.1967
"2009-12-27",32.5966
"2009-12-28",32.1884
"2009-12-29",31.3155
"2009-12-30",36.7619
"2009-12-31",54.1074
"2010-01-01",56.6345
"2010-01-02",56.0259
"2010-01-03",55.0954
"2010-01-04",54.089
"2010-01-05",53.4626
"2010-01-06",52.7789
"2010-01-07",51.1399
"2010-01-08",49.8102
"2010-01-09",48.5715
"2010-01-10",47.544
"2010-01-11",46.4874
"2010-01-12",45.106
"2010-01-13",43.1703
"2010-01-14",42.648
"2010-01-15",42.8439
"2010-01-16",41.5823
"2010-01-17",40.78
"2010-01-18",39.6968
"2010-01-19",45.5041
"2010-01-20",52.1153
"2010-01-21",62.9515
"2010-01-22",94.2427
"2010-01-23",114.0797
"2010-01-24",121.9868
"2010-01-25",121.4043
"2010-01-26",122.0069
"2010-01-27",121.3373
"2010-01-28",125.3121
"2010-01-29",132.4924
"2010-01-30",132.2824
"2010-01-31",131.9077
"2010-02-01",131.4635
"2010-02-02",130.668
"2010-02-03",129.9608
"2010-02-04",131.8798
"2010-02-05",131.5742
"2010-02-06",120.3295
"2010-02-07",120.2032
"2010-02-08",126.9324
"2010-02-09",129.2756
"2010-02-10",129.8299
"2010-02-11",130.2055
"2010-02-12",129.7462
"2010-02-13",128.9058
"2010-02-14",127.103
"2010-02-15",124.9373
"2010-02-16",123.2508
"2010-02-17",122.343
"2010-02-18",121.655
"2010-02-19",120.2204
"2010-02-20",117.581
