"DateTime","(mm) SWE (SNODAS) at Navajo Mountain, 2013-11-02 to 2015-11-01"
"2013-11-02",0
"2013-11-03",0
"2013-11-04",0
"2013-11-05",0
"2013-11-06",0
"2013-11-07",0
"2013-11-08",0
"2013-11-09",0
"2013-11-10",0
"2013-11-11",0
"2013-11-12",0
"2013-11-13",0
"2013-11-14",0
"2013-11-15",0
"2013-11-16",0
"2013-11-17",0
"2013-11-18",0
"2013-11-19",0
"2013-11-20",0
"2013-11-21",0
"2013-11-22",0.4074
"2013-11-23",7.0309
"2013-11-24",9.9442
"2013-11-25",12.1583
"2013-11-26",11.1532
"2013-11-27",10.2732
"2013-11-28",4.738
"2013-11-29",4.4315
"2013-11-30",4.2661
"2013-12-01",4.2636
"2013-12-02",4.0024
"2013-12-03",1.8789
"2013-12-04",0.9311
"2013-12-05",1.9057
"2013-12-06",1.6783
"2013-12-07",0.8837
"2013-12-08",3.4792
"2013-12-09",3.1723
"2013-12-10",2.8362
"2013-12-11",2.1584
"2013-12-12",1.7939
"2013-12-13",1.4028
"2013-12-14",0.9094
"2013-12-15",0.4362
"2013-12-16",0.2993
"2013-12-17",0.2078
"2013-12-18",0.158
"2013-12-19",0.1081
"2013-12-20",0.0748
"2013-12-21",0.0998
"2013-12-22",0.0998
"2013-12-23",0.0665
"2013-12-24",0.0499
"2013-12-25",0.0249
"2013-12-26",0
"2013-12-27",0
"2013-12-28",0
"2013-12-29",0
"2013-12-30",0
"2013-12-31",0
"2014-01-01",0
"2014-01-02",0
"2014-01-03",0
"2014-01-04",0
"2014-01-05",0
"2014-01-06",0
"2014-01-07",0
"2014-01-08",0
"2014-01-09",0
"2014-01-10",0
"2014-01-11",0
"2014-01-12",0
"2014-01-13",0
"2014-01-14",0
"2014-01-15",0
"2014-01-16",0
"2014-01-17",0
"2014-01-18",0
"2014-01-19",0
"2014-01-20",0
"2014-01-21",0
"2014-01-22",0
"2014-01-23",0
"2014-01-24",0
"2014-01-25",0
"2014-01-26",0
"2014-01-27",0
"2014-01-28",0
"2014-01-29",0
"2014-01-30",0
"2014-01-31",0
"2014-02-01",0.1995
"2014-02-02",1.1525
"2014-02-03",0.7182
"2014-02-04",2.3504
"2014-02-05",2.134
"2014-02-06",1.5614
"2014-02-07",2.5039
"2014-02-08",5.9063
"2014-02-09",2.4885
"2014-02-10",0.5653
"2014-02-11",0.4406
"2014-02-12",0.2494
"2014-02-13",0.0333
"2014-02-14",0
"2014-02-15",0
"2014-02-16",0
"2014-02-17",0
"2014-02-18",0
"2014-02-19",0
"2014-02-20",0
"2014-02-21",0
"2014-02-22",0
"2014-02-23",0
"2014-02-24",0
"2014-02-25",0
"2014-02-26",0
"2014-02-27",0
"2014-02-28",0.0665
"2014-03-01",0.0333
"2014-03-02",0.3159
"2014-03-03",0.2827
"2014-03-04",0.2411
"2014-03-05",0.158
"2014-03-06",0.0582
"2014-03-07",0.0333
"2014-03-08",0.0665
"2014-03-09",0.0416
"2014-03-10",0.0249
"2014-03-11",0
"2014-03-12",0
"2014-03-13",0
"2014-03-14",0
"2014-03-15",0
"2014-03-16",0
"2014-03-17",0
"2014-03-18",0
"2014-03-19",0
"2014-03-20",0
"2014-03-21",0
"2014-03-22",0
"2014-03-23",0
"2014-03-24",0
"2014-03-25",0
"2014-03-26",0
"2014-03-27",0.0915
"2014-03-28",0.0416
