"DateTime","(mm) SWE (SNODAS) at Navajo Mountain, 2007-11-02 to 2009-11-01"
"2007-11-02",0
"2007-11-03",0
"2007-11-04",0
"2007-11-05",0
"2007-11-06",0
"2007-11-07",0
"2007-11-08",0
"2007-11-09",0
"2007-11-10",0
"2007-11-11",0
"2007-11-12",0
"2007-11-13",0
"2007-11-14",0
"2007-11-15",0
"2007-11-16",0
"2007-11-17",0
"2007-11-18",0
"2007-11-19",0
"2007-11-20",0
"2007-11-21",0
"2007-11-22",0
"2007-11-23",0
"2007-11-24",0
"2007-11-25",0
"2007-11-26",0
"2007-11-27",0
"2007-11-28",0
"2007-11-29",0
"2007-11-30",0
"2007-12-01",0
"2007-12-02",0.3907
"2007-12-03",0.2411
"2007-12-04",0
"2007-12-05",0
"2007-12-06",0
"2007-12-07",0
"2007-12-08",0.0083
"2007-12-09",0
"2007-12-10",0
"2007-12-11",3.192
"2007-12-12",6.5786
"2007-12-13",6.15
"2007-12-14",6.0089
"2007-12-15",6.0582
"2007-12-16",5.1034
"2007-12-17",4.5589
"2007-12-18",3.1003
"2007-12-19",1.9746
"2007-12-20",1.9519
"2007-12-21",1.0236
"2007-12-22",0.3111
"2007-12-23",0.1155
"2007-12-24",0.0878
"2007-12-25",0.071
"2007-12-26",0.0462
"2007-12-27",0.0375
"2007-12-28",0.0375
"2007-12-29",0.0347
"2007-12-30",0.0175
"2007-12-31",0.0103
"2008-01-01",0.0018
"2008-01-02",0
"2008-01-03",0
"2008-01-04",0
"2008-01-05",0
"2008-01-06",0.3824
"2008-01-07",3.2139
"2008-01-08",6.5322
"2008-01-09",5.9406
"2008-01-10",5.3315
"2008-01-11",4.4191
"2008-01-12",3.0464
"2008-01-13",2.3812
"2008-01-14",1.9776
"2008-01-15",1.5912
"2008-01-16",1.2136
"2008-01-17",0.9386
"2008-01-18",0.8337
"2008-01-19",0.6997
"2008-01-20",0.5916
"2008-01-21",0.417
"2008-01-22",0.275
"2008-01-23",0.2494
"2008-01-24",0.1995
"2008-01-25",0.7647
"2008-01-26",0.374
"2008-01-27",0.3119
"2008-01-28",0.0998
"2008-01-29",2.093
"2008-01-30",1.1445
"2008-01-31",0.4489
"2008-02-01",0.2328
"2008-02-02",0.1164
"2008-02-03",1.1213
"2008-02-04",3.7508
"2008-02-05",2.9669
"2008-02-06",2.1666
"2008-02-07",1.4253
"2008-02-08",0.6069
"2008-02-09",0.2328
"2008-02-10",0.1164
"2008-02-11",0.0831
"2008-02-12",0.0582
"2008-02-13",0.0333
"2008-02-14",0
"2008-02-15",1.1123
"2008-02-16",0.5374
"2008-02-17",0.1081
"2008-02-18",0
"2008-02-19",0
"2008-02-20",0
"2008-02-21",1.902
"2008-02-22",3.2889
"2008-02-23",13.3911
"2008-02-24",14.1531
"2008-02-25",9.0042
"2008-02-26",9.0394
"2008-02-27",8.3635
"2008-02-28",7.8316
"2008-02-29",6.9337
"2008-03-01",5.7116
"2008-03-02",3.0345
"2008-03-03",2.9181
"2008-03-04",2.677
"2008-03-05",2.2281
"2008-03-06",2.0452
"2008-03-07",1.7958
"2008-03-08",1.563
"2008-03-09",1.3551
"2008-03-10",1.1889
"2008-03-11",1.0558
"2008-03-12",0.8314
"2008-03-14",0.3492
"2008-03-15",0.266
"2008-03-16",0.2078
"2008-03-17",0.8629
"2008-03-18",4.0982
"2008-03-19",1.5376
"2008-03-20",0.5071
"2008-03-21",0.1746
"2008-03-22",0.133
"2008-03-23",0.0748
"2008-03-24",0.0499
"2008-03-25",0.0166
"2008-03-26",0
"2008-03-27",0
"2008-03-28",0
"2008-03-29",0
