"DateTime","(mm) SWE (SNODAS) at Navajo Mountain, 2009-11-02 to 2011-11-01"
"2009-11-02",0
"2009-11-03",0
"2009-11-04",0
"2009-11-05",0
"2009-11-06",0
"2009-11-07",0
"2009-11-08",0
"2009-11-09",0
"2009-11-10",0
"2009-11-11",0
"2009-11-12",0
"2009-11-13",0
"2009-11-14",0.0249
"2009-11-15",2.3034
"2009-11-16",1.2803
"2009-11-17",0.533
"2009-11-18",0.2522
"2009-11-19",0.0249
"2009-11-20",0
"2009-11-21",0
"2009-11-22",0
"2009-11-23",0
"2009-11-24",0
"2009-11-25",0
"2009-11-26",0
"2009-11-27",0
"2009-11-28",0
"2009-11-29",0
"2009-11-30",0
"2009-12-01",0
"2009-12-02",0
"2009-12-03",0
"2009-12-04",0
"2009-12-05",0
"2009-12-06",0
"2009-12-07",0
"2009-12-08",3.258
"2009-12-09",3.9894
"2009-12-10",3.5323
"2009-12-11",3.1168
"2009-12-12",3.1153
"2009-12-13",3.175
"2009-12-14",3.9401
"2009-12-15",3.5993
"2009-12-16",3.2254
"2009-12-17",2.8181
"2009-12-18",2.2113
"2009-12-19",1.6046
"2009-12-20",1.006
"2009-12-21",0.582
"2009-12-22",0.1829
"2009-12-23",5.214
"2009-12-24",5.406
"2009-12-25",4.3871
"2009-12-26",3.8041
"2009-12-27",3.3019
"2009-12-28",3.005
"2009-12-29",2.5893
"2009-12-30",5.813
"2009-12-31",12.0913
"2010-01-01",12.0436
"2010-01-02",11.3924
"2010-01-03",10.5417
"2010-01-04",9.6087
"2010-01-05",9.1038
"2010-01-06",8.8023
"2010-01-07",7.7001
"2010-01-08",6.1549
"2010-01-09",4.9503
"2010-01-10",4.2948
"2010-01-11",3.6995
"2010-01-12",3.2613
"2010-01-13",2.8131
"2010-01-14",2.5005
"2010-01-15",2.2816
"2010-01-16",2.1637
"2010-01-17",2.1378
"2010-01-18",2.0608
"2010-01-19",3.0506
"2010-01-20",3.5587
"2010-01-21",10.1791
"2010-01-22",23.1754
"2010-01-23",23.7007
"2010-01-24",23.4464
"2010-01-25",22.5006
"2010-01-26",21.7594
"2010-01-27",21.2368
"2010-01-28",21.3847
"2010-01-29",21.3205
"2010-01-30",21.0777
"2010-01-31",20.8287
"2010-02-01",21.5619
"2010-02-02",21.0343
"2010-02-03",20.797
"2010-02-04",20.2315
"2010-02-05",19.4718
"2010-02-06",17.9686
"2010-02-07",17.1163
"2010-02-08",19.6343
"2010-02-09",19.2264
"2010-02-10",18.8806
"2010-02-11",18.7014
"2010-02-12",17.8396
"2010-02-13",16.3913
"2010-02-14",14.2484
"2010-02-15",11.9643
"2010-02-16",10.8538
"2010-02-17",10.0127
"2010-02-18",9.4813
"2010-02-19",8.5538
"2010-02-20",6.5827
"2010-02-21",6.107
"2010-02-22",19.5061
"2010-02-23",23.0724
"2010-02-24",17.2001
"2010-02-25",24.0234
"2010-02-26",23.6762
"2010-02-27",22.357
"2010-02-28",20.1685
"2010-03-01",18.2078
"2010-03-02",15.4726
"2010-03-03",14.2665
"2010-03-04",12.697
"2010-03-05",11.8224
"2010-03-06",11.3082
"2010-03-07",10.3907
"2010-03-08",11.3243
"2010-03-09",10.9696
"2010-03-10",12.1777
"2010-03-11",12.8241
"2010-03-12",10.1931
"2010-03-13",9.1438
"2010-03-14",8.9708
"2010-03-15",12.9474
"2010-03-16",10.0764
"2010-03-17",9.2948
"2010-03-18",8.5466
"2010-03-19",6.8838
"2010-03-20",6.4681
"2010-03-21",5.803
"2010-03-22",5.0215
"2010-03-23",3.949
"2010-03-24",3.5999
"2010-03-25",3.259
"2010-03-26",2.9264
"2010-03-27",4.2982
"2010-03-28",3.6497
"2010-03-29",3.2756
"2010-03-30",1.9122
"2010-03-31",0.3741
"2010-04-01",0.291
"2010-04-02",0.9368
"2010-04-03",0.5071
"2010-04-04",0.2827
"2010-04-05",0.2328
"2010-04-06",0.2245
"2010-04-07",0.158
"2010-04-08",0.133
"2010-04-09",0.1164
"2010-04-10",0.0915
"2010-04-11",0.0748
"2010-04-12",0.0416
"2010-04-13",0.0166
"2010-04-14",0.0166
"2010-04-15",0
"2010-04-16",0
"2010-04-17",0
"2010-04-18",0
"2010-04-19",0
"2010-04-20",0
"2010-04-21",0
"2010-04-22",0
"2010-04-23",0
"2010-04-24",0
"2010-04-25",0
"2010-04-26",0
"2010-04-27",0
"2010-04-28",0
"2010-04-29",0
"2010-04-30",0.8673
"2010-05-01",0.2577
"2010-05-02",0.0333
"2010-05-03",0.0416
"2010-05-04",0
"2010-05-05",0
"2010-05-06",0
"2010-05-07",0
"2010-05-08",0
"2010-05-09",0
"2010-05-10",0
"2010-05-11",0
"2010-05-12",0
"2010-05-13",0
"2010-05-14",0
"2010-05-15",0
"2010-05-16",0
"2010-05-17",0
"2010-05-18",0
"2010-05-19",0
"2010-05-20",0
"2010-05-21",0
"2010-05-22",0
"2010-05-23",0
"2010-05-24",0
"2010-05-25",0
"2010-05-26",0
"2010-05-27",0
"2010-05-28",0
"2010-05-29",0
"2010-05-30",0
"2010-05-31",0
"2010-06-01",0
"2010-06-02",0
"2010-06-03",0
"2010-06-04",0
"2010-06-05",0
"2010-06-06",0
"2010-06-07",0
"2010-06-08",0
"2010-06-09",0
"2010-06-10",0
"2010-06-11",0
"2010-06-12",0
"2010-06-13",0
"2010-06-14",0
"2010-06-15",0
"2010-06-16",0
"2010-06-17",0
"2010-06-18",0
"2010-06-19",0
"2010-06-20",0
"2010-06-21",0
"2010-06-22",0
"2010-06-23",0
"2010-06-24",0
"2010-06-25",0
"2010-06-26",0
"2010-06-27",0
"2010-06-28",0
"2010-06-29",0
"2010-06-30",0
"2010-07-01",0
"2010-07-02",0
"2010-07-03",0
"2010-07-04",0
"2010-07-05",0
"2010-07-06",0
"2010-07-07",0
"2010-07-08",0
"2010-07-09",0
"2010-07-10",0
"2010-07-11",0
"2010-07-12",0
"2010-07-13",0
"2010-07-14",0
"2010-07-15",0
"2010-07-16",0
"2010-07-17",0
"2010-07-18",0
"2010-07-19",0
"2010-07-20",0
"2010-07-21",0
"2010-07-22",0
"2010-07-23",0
"2010-07-24",0
"2010-07-25",0
"2010-07-26",0
"2010-07-27",0
"2010-07-28",0
"2010-07-29",0
"2010-07-30",0
"2010-07-31",0
"2010-08-01",0
"2010-08-02",0
"2010-08-03",0
"2010-08-04",0
"2010-08-05",0
"2010-08-06",0
"2010-08-07",0
"2010-08-08",0
"2010-08-09",0
"2010-08-10",0
"2010-08-11",0
"2010-08-12",0
"2010-08-13",0
"2010-08-14",0
"2010-08-15",0
"2010-08-16",0
"2010-08-17",0
"2010-08-18",0
"2010-08-19",0
"2010-08-20",0
"2010-08-21",0
"2010-08-22",0
"2010-08-23",0
"2010-08-24",0
"2010-08-25",0
"2010-08-26",0
"2010-08-27",0
"2010-08-28",0
"2010-08-29",0
"2010-08-30",0
"2010-08-31",0
"2010-09-01",0
"2010-09-02",0
"2010-09-03",0
"2010-09-04",0
"2010-09-05",0
"2010-09-06",0
"2010-09-07",0
"2010-09-08",0
"2010-09-09",0
"2010-09-10",0
"2010-09-11",0
"2010-09-12",0
"2010-09-13",0
"2010-09-14",0
"2010-09-15",0
"2010-09-16",0
"2010-09-17",0
"2010-09-18",0
"2010-09-19",0
"2010-09-20",0
"2010-09-21",0
"2010-09-22",0
"2010-09-23",0
"2010-09-24",0
"2010-09-25",0
"2010-09-26",0
"2010-09-27",0
"2010-09-28",0
"2010-09-29",0
"2010-09-30",0
"2010-10-01",0
"2010-10-02",0
"2010-10-03",0
"2010-10-04",0
"2010-10-05",0
"2010-10-06",0
"2010-10-07",0
"2010-10-08",0
"2010-10-09",0
"2010-10-10",0
"2010-10-11",0
"2010-10-12",0
"2010-10-13",0
"2010-10-14",0
"2010-10-15",0
"2010-10-16",0
"2010-10-17",0
"2010-10-18",0
"2010-10-19",0
"2010-10-20",0
"2010-10-21",0
"2010-10-22",0
"2010-10-23",0
"2010-10-24",0
"2010-10-25",0
"2010-10-26",0
"2010-10-27",0
"2010-10-28",0
"2010-10-29",0
"2010-10-30",0
"2010-10-31",0
"2010-11-01",0
"2010-11-02",0
"2010-11-03",0
"2010-11-04",0
"2010-11-05",0
"2010-11-06",0
"2010-11-07",0
"2010-11-08",0
"2010-11-09",0.0915
"2010-11-10",0.0665
"2010-11-11",0.2333
"2010-11-12",0.0333
"2010-11-13",0
"2010-11-14",0
"2010-11-15",0
"2010-11-16",0
"2010-11-17",0
"2010-11-18",0
"2010-11-19",0
"2010-11-20",0
"2010-11-21",0
"2010-11-22",0.2162
"2010-11-23",0.1081
"2010-11-24",0
"2010-11-25",0
"2010-11-26",0
"2010-11-27",0
"2010-11-28",0
"2010-11-29",0
"2010-11-30",0
"2010-12-01",0
"2010-12-02",0
"2010-12-03",0
"2010-12-04",0
"2010-12-05",0
"2010-12-06",0
"2010-12-07",0
"2010-12-08",0
"2010-12-09",0
"2010-12-10",0
"2010-12-11",0
"2010-12-12",0
"2010-12-13",0
"2010-12-14",0
"2010-12-15",0
"2010-12-16",0
"2010-12-17",1.0527
"2010-12-18",3.1331
"2010-12-19",5.9056
"2010-12-20",1.3136
"2010-12-21",0.9478
"2010-12-22",1.3053
"2010-12-23",1.2886
"2010-12-24",1.7958
"2010-12-25",1.6877
"2010-12-26",1.4466
"2010-12-27",1.6711
"2010-12-28",1.3551
"2010-12-29",1.2803
"2010-12-30",4.5145
"2010-12-31",19.2766
"2011-01-01",18.941
"2011-01-02",18.3857
"2011-01-03",17.8762
"2011-01-04",17.8042
"2011-01-05",14.7667
"2011-01-06",13.8188
"2011-01-07",12.8339
"2011-01-08",12.2623
"2011-01-09",12.0294
"2011-01-10",10.9818
"2011-01-11",11.3374
"2011-01-12",10.3975
"2011-01-13",9.6119
"2011-01-14",8.8205
"2011-01-15",6.8319
"2011-01-16",5.4278
"2011-01-17",2.1843
"2011-01-18",0.8896
"2011-01-19",0.7815
"2011-01-20",0.6817
"2011-01-21",0.6069
"2011-01-22",0.4905
"2011-01-23",0.3991
"2011-01-24",0.3492
"2011-01-25",0.266
"2011-01-26",0.2162
"2011-01-27",0.1746
"2011-01-28",0.133
"2011-01-29",0.1164
"2011-01-30",0.0915
"2011-01-31",0.0582
"2011-02-01",0.0499
"2011-02-02",0.0416
"2011-02-03",0.0249
"2011-02-04",0
"2011-02-05",0
"2011-02-06",0
"2011-02-07",0
"2011-02-08",0
"2011-02-09",0.6551
"2011-02-10",0.0333
"2011-02-11",0
"2011-02-12",0
"2011-02-13",0
"2011-02-14",0
"2011-02-15",0
"2011-02-16",0
"2011-02-17",0
"2011-02-18",0
"2011-02-19",0
"2011-02-20",0.8396
"2011-02-21",0.747
"2011-02-22",0.4573
"2011-02-23",0.3575
"2011-02-24",0.1663
"2011-02-25",0.1081
"2011-02-26",0.0499
"2011-02-27",0.0249
"2011-02-28",0.0166
"2011-03-01",0
"2011-03-02",0
"2011-03-03",0
"2011-03-04",0
"2011-03-05",0
"2011-03-06",0
"2011-03-07",0
"2011-03-08",0.4656
"2011-03-09",0.2744
"2011-03-10",0.0748
"2011-03-11",0
"2011-03-12",0
"2011-03-13",0
"2011-03-14",0
"2011-03-15",0
"2011-03-16",0
"2011-03-17",0
"2011-03-18",0.2494
"2011-03-19",0.0166
"2011-03-20",0
"2011-03-21",0
"2011-03-22",0
"2011-03-23",0.3158
"2011-03-24",0
"2011-03-25",0
"2011-03-26",0
"2011-03-27",0.291
"2011-03-28",0.1413
"2011-03-29",0
"2011-03-30",0
"2011-03-31",0
"2011-04-01",0
"2011-04-02",0
"2011-04-03",0
"2011-04-04",0
"2011-04-05",0
"2011-04-06",0
"2011-04-07",0.0083
"2011-04-08",0
"2011-04-09",0
"2011-04-10",0.2827
"2011-04-11",0
"2011-04-12",0
"2011-04-13",0
"2011-04-14",0
"2011-04-15",0
"2011-04-16",0
"2011-04-17",0
"2011-04-18",0
"2011-04-19",0
"2011-04-20",0
"2011-04-21",0
"2011-04-22",0
"2011-04-23",0
"2011-04-24",0
"2011-04-25",0.0166
"2011-04-26",0
"2011-04-27",0
"2011-04-28",0
"2011-04-29",0
"2011-04-30",0
"2011-05-01",0
"2011-05-02",0
"2011-05-03",0
"2011-05-04",0
"2011-05-05",0
"2011-05-06",0
"2011-05-07",0
"2011-05-08",0
"2011-05-09",0
"2011-05-10",0.0333
"2011-05-11",0.0333
"2011-05-12",0.0333
"2011-05-13",0
"2011-05-14",0
"2011-05-15",0
"2011-05-16",0
"2011-05-17",0
"2011-05-18",0
"2011-05-19",0.0831
"2011-05-20",1.3219
"2011-05-21",0.69
"2011-05-22",0.1663
"2011-05-23",0
"2011-05-24",0
"2011-05-25",0
"2011-05-26",0
"2011-05-27",0
"2011-05-28",0
"2011-05-29",0
"2011-05-30",0
"2011-05-31",0
"2011-06-01",0
"2011-06-02",0
"2011-06-03",0
"2011-06-04",0
"2011-06-05",0
"2011-06-06",0
"2011-06-07",0
"2011-06-08",0
"2011-06-09",0
"2011-06-10",0
"2011-06-11",0
"2011-06-12",0
"2011-06-13",0
"2011-06-14",0
"2011-06-15",0
"2011-06-16",0
"2011-06-17",0
"2011-06-18",0
"2011-06-19",0
"2011-06-20",0
"2011-06-21",0
"2011-06-22",0
"2011-06-23",0
"2011-06-24",0
"2011-06-25",0
"2011-06-26",0
"2011-06-27",0
"2011-06-28",0
"2011-06-29",0
"2011-06-30",0
"2011-07-01",0
"2011-07-02",0
"2011-07-03",0
"2011-07-04",0
"2011-07-05",0
"2011-07-06",0
"2011-07-07",0
"2011-07-08",0
"2011-07-09",0
"2011-07-10",0
"2011-07-11",0
"2011-07-12",0
"2011-07-13",0
"2011-07-14",0
"2011-07-15",0
"2011-07-16",0
"2011-07-17",0
"2011-07-18",0
"2011-07-19",0
"2011-07-20",0
"2011-07-21",0
"2011-07-22",0
"2011-07-23",0
"2011-07-24",0
"2011-07-25",0
"2011-07-26",0
"2011-07-27",0
"2011-07-28",0
"2011-07-29",0
"2011-07-30",0
"2011-07-31",0
"2011-08-01",0
"2011-08-02",0
"2011-08-03",0
"2011-08-04",0
"2011-08-05",0
"2011-08-06",0
"2011-08-07",0
"2011-08-08",0
"2011-08-09",0
"2011-08-10",0
"2011-08-11",0
"2011-08-12",0
"2011-08-13",0
"2011-08-14",0
"2011-08-15",0
"2011-08-16",0
"2011-08-17",0
"2011-08-18",0
"2011-08-19",0
"2011-08-20",0
"2011-08-21",0
"2011-08-22",0
"2011-08-23",0
"2011-08-24",0
"2011-08-25",0
"2011-08-26",0
"2011-08-27",0
"2011-08-28",0
"2011-08-29",0
"2011-08-30",0
"2011-08-31",0
"2011-09-01",0
"2011-09-02",0
"2011-09-03",0
