"DateTime","(mm) SWE (SNODAS) at Black Mesa, 2018-10-02 to 2019-06-01"
"2018-10-02",0
"2018-10-03",0
"2018-10-04",0
"2018-10-05",0
"2018-10-06",0
"2018-10-07",0
"2018-10-08",0
"2018-10-09",0
"2018-10-10",0
"2018-10-11",0
"2018-10-12",0
"2018-10-13",0
"2018-10-14",0
"2018-10-15",0
"2018-10-16",0
"2018-10-17",0
"2018-10-18",0
"2018-10-19",0
"2018-10-20",0
"2018-10-21",0
"2018-10-22",0
"2018-10-23",0
"2018-10-24",0
"2018-10-25",0
"2018-10-26",0
"2018-10-27",0
"2018-10-28",0
"2018-10-29",0
"2018-10-30",0
"2018-10-31",0
"2018-11-01",0
"2018-11-02",0
"2018-11-03",0
"2018-11-04",0
"2018-11-05",0
"2018-11-06",0
"2018-11-07",0
"2018-11-08",0
"2018-11-09",0
"2018-11-10",0
"2018-11-11",0
"2018-11-12",0
"2018-11-13",0
"2018-11-14",0
"2018-11-15",0
"2018-11-16",0
"2018-11-17",0
"2018-11-18",0
"2018-11-19",0
"2018-11-20",0
"2018-11-21",0
"2018-11-22",0
"2018-11-23",0.0011
"2018-11-24",0
"2018-11-25",0
"2018-11-26",0
"2018-11-27",0
"2018-11-28",0
"2018-11-29",0
"2018-11-30",0
"2018-12-01",0
"2018-12-02",0
"2018-12-03",0
"2018-12-04",0
"2018-12-05",0
"2018-12-06",0
"2018-12-07",0
"2018-12-08",0
"2018-12-09",0
"2018-12-10",0
"2018-12-11",0
"2018-12-12",0
"2018-12-13",0
"2018-12-14",0
"2018-12-15",0
"2018-12-16",8.775
"2018-12-17",0
"2018-12-18",0
"2018-12-19",0
"2018-12-20",0
"2018-12-21",0
"2018-12-22",0
"2018-12-23",0
"2018-12-24",0
"2018-12-25",0
"2018-12-26",0
"2018-12-27",0
"2018-12-28",0
"2018-12-29",0
"2018-12-30",0
"2018-12-31",0
"2019-01-01",0
"2019-01-02",0
"2019-01-03",0
"2019-01-04",0
"2019-01-05",0
"2019-01-06",0
"2019-01-07",37.2085
"2019-01-08",37.2528
"2019-01-09",37.0461
"2019-01-10",36.4965
"2019-01-11",36.3545
"2019-01-12",36.1486
"2019-01-13",36.1935
"2019-01-14",42.1727
"2019-01-15",42.4471
"2019-01-16",50.0946
"2019-01-17",50.7073
"2019-01-18",45.8295
"2019-01-19",43.0764
"2019-01-20",42.4612
"2019-01-21",40.2631
"2019-01-22",39.5378
"2019-01-23",38.1992
"2019-01-24",37.6024
"2019-01-25",36.3463
"2019-01-26",35.4552
"2019-01-27",34.0537
"2019-01-28",31.7912
"2019-01-29",28.0044
"2019-01-30",26.9131
"2019-01-31",26.0921
"2019-02-01",24.4867
"2019-02-02",22.05
"2019-02-03",12.1211
"2019-02-04",1.2378
"2019-02-05",0.6548
"2019-02-06",0.5991
"2019-02-07",9.7348
"2019-02-08",9.337
"2019-02-09",8.0443
"2019-02-10",3.4757
"2019-02-11",1.3663
"2019-02-12",10.3659
"2019-02-13",9.6235
"2019-02-14",2.6101
"2019-02-15",0.5945
"2019-02-16",0.0186
"2019-02-17",2.1047
"2019-02-18",14.7286
"2019-02-19",20.7069
"2019-02-20",13.3349
"2019-02-21",14.4131
"2019-02-22",35.6038
"2019-02-23",46.4281
"2019-02-24",45.9483
"2019-02-25",45.7912
"2019-02-26",45.328
"2019-02-27",44.2785
"2019-02-28",41.8899
"2019-03-01",26.8213
"2019-03-02",5.4167
"2019-03-03",0.0017
"2019-03-04",0
"2019-03-05",1.2342
"2019-03-06",0.0283
"2019-03-07",0
"2019-03-08",0
"2019-03-09",0.0295
"2019-03-10",0.0039
"2019-03-11",0
"2019-03-12",0
"2019-03-13",3.4827
"2019-03-14",9.4954
"2019-03-15",8.3419
"2019-03-16",5.5442
"2019-03-17",1.8203
"2019-03-18",0.4741
"2019-03-19",0.0484
"2019-03-20",0
"2019-03-21",0
"2019-03-22",0.1387
"2019-03-23",0.399
"2019-03-24",0.038
"2019-03-25",0
"2019-03-26",2.9539
"2019-03-27",0
"2019-03-28",0
"2019-03-29",0
"2019-03-30",0
"2019-03-31",0
"2019-04-01",0
"2019-04-02",0
"2019-04-03",0
"2019-04-04",0
"2019-04-05",0
"2019-04-06",0
"2019-04-07",0
"2019-04-08",0
"2019-04-09",0
"2019-04-10",0
"2019-04-11",2.4716
"2019-04-12",0.8174
"2019-04-13",0.407
"2019-04-14",0.0529
"2019-04-15",0
"2019-04-16",0
"2019-04-17",0
"2019-04-18",0
"2019-04-19",0
"2019-04-20",0
"2019-04-21",0
"2019-04-22",0
"2019-04-23",0
"2019-04-24",0
"2019-04-25",0
"2019-04-26",0
"2019-04-27",0
"2019-04-28",0
"2019-04-29",0
"2019-04-30",0
"2019-05-01",0
"2019-05-02",0
"2019-05-03",0
"2019-05-04",0
"2019-05-05",0
"2019-05-06",0
"2019-05-07",0
"2019-05-08",0
"2019-05-09",0
"2019-05-10",0
"2019-05-11",0
"2019-05-12",0
"2019-05-13",0
"2019-05-14",0
"2019-05-15",0
"2019-05-16",0
"2019-05-17",0
"2019-05-18",0
"2019-05-19",0
"2019-05-20",0.023
"2019-05-21",0.1807
"2019-05-22",0.3919
"2019-05-23",0
"2019-05-24",0.3843
"2019-05-25",0.0144
"2019-05-26",0
"2019-05-27",0
"2019-05-28",0
"2019-05-29",0
"2019-05-30",0
"2019-05-31",0
"2019-06-01",0
