"DateTime","(mm) SWE (SNODAS) at Black Mesa, 2015-10-02 to 2018-10-01"
"2015-10-02",0
"2015-10-03",0
"2015-10-04",0
"2015-10-05",0
"2015-10-06",0
"2015-10-07",0
"2015-10-08",0
"2015-10-09",0
"2015-10-10",0
"2015-10-11",0
"2015-10-12",0
"2015-10-13",0
"2015-10-14",0
"2015-10-15",0
"2015-10-16",0
"2015-10-17",0
"2015-10-18",0
"2015-10-19",0
"2015-10-20",0
"2015-10-21",0
"2015-10-22",0
"2015-10-23",0
"2015-10-24",0
"2015-10-25",0
"2015-10-26",0
"2015-10-27",0
"2015-10-28",0
"2015-10-29",0
"2015-10-30",0
"2015-10-31",0
"2015-11-01",0
"2015-11-02",0
"2015-11-03",0
"2015-11-04",0
"2015-11-05",3.2635
"2015-11-06",4.6032
"2015-11-07",3.852
"2015-11-08",3.0465
"2015-11-09",0
"2015-11-10",0
"2015-11-11",1.9276
"2015-11-12",1.5845
"2015-11-13",0.3055
"2015-11-14",0
"2015-11-15",0
"2015-11-16",0
"2015-11-17",7.022
"2015-11-18",6.3742
"2015-11-19",2.3582
"2015-11-20",0.8687
"2015-11-21",0
"2015-11-22",0
"2015-11-23",0
"2015-11-24",0
"2015-11-25",0
"2015-11-26",0
"2015-11-27",0
"2015-11-28",0
"2015-11-29",0
"2015-11-30",0
"2015-12-01",0
"2015-12-02",0
"2015-12-03",0
"2015-12-04",0
"2015-12-05",0
"2015-12-06",0
"2015-12-07",0
"2015-12-08",0
"2015-12-09",0
"2015-12-10",0
"2015-12-11",0
"2015-12-12",2.0585
"2015-12-13",4.7496
"2015-12-14",3.515
"2015-12-15",11.4498
"2015-12-16",11.2711
"2015-12-17",11.1341
"2015-12-18",10.8125
"2015-12-19",10.4351
"2015-12-20",8.4277
"2015-12-21",8.7267
"2015-12-22",8.372
"2015-12-23",15.7571
"2015-12-24",18.8071
"2015-12-25",19.201
"2015-12-26",23.0461
"2015-12-27",22.8698
"2015-12-28",22.5936
"2015-12-29",22.477
"2015-12-30",22.519
"2015-12-31",22.2889
"2016-01-01",22.1804
"2016-01-02",22.1959
"2016-01-03",22.0601
"2016-01-04",21.5279
"2016-01-05",23.1247
"2016-01-06",26.2634
"2016-01-07",35.8729
"2016-01-08",44.5115
"2016-01-09",45.3096
"2016-01-10",45.378
"2016-01-11",45.8615
"2016-01-12",45.5011
"2016-01-13",45.0971
"2016-01-14",44.6991
"2016-01-15",43.6444
"2016-01-16",44.7045
"2016-01-17",44.3353
"2016-01-18",43.503
"2016-01-19",42.4611
"2016-01-20",43.1515
"2016-01-21",41.7869
"2016-01-22",41.0059
"2016-01-23",40.366
"2016-01-24",38.1129
"2016-01-25",38.1775
"2016-01-26",37.4688
"2016-01-27",36.6512
"2016-01-28",35.7362
"2016-01-29",34.7508
"2016-01-30",32.4802
"2016-01-31",15.8297
"2016-02-01",7.7588
"2016-02-02",16.6004
"2016-02-03",16.3782
"2016-02-04",15.9999
"2016-02-05",15.9664
"2016-02-06",15.5151
"2016-02-07",15.0671
"2016-02-08",13.7876
"2016-02-09",11.0806
"2016-02-10",9.0077
"2016-02-11",7.5801
"2016-02-12",6.0983
"2016-02-13",4.4725
"2016-02-14",1.7283
"2016-02-15",0.9439
"2016-02-16",0.3315
"2016-02-17",0.1227
"2016-02-18",0
"2016-02-19",0
"2016-02-20",0
"2016-02-21",0
"2016-02-22",0
"2016-02-23",0
"2016-02-24",0
"2016-02-25",0
"2016-02-26",0
"2016-02-27",0
"2016-02-28",0
"2016-02-29",0
"2016-03-01",0
"2016-03-02",0
"2016-03-03",0
"2016-03-04",0
"2016-03-05",0
"2016-03-06",0
"2016-03-07",0.2873
"2016-03-08",0.0006
"2016-03-09",0
"2016-03-10",0
"2016-03-11",0
"2016-03-12",0
"2016-03-13",0
"2016-03-14",0
"2016-03-15",0
"2016-03-16",0
"2016-03-17",0
"2016-03-18",0
"2016-03-19",0
"2016-03-20",0
"2016-03-21",0
"2016-03-22",0
"2016-03-23",0
"2016-03-24",0
"2016-03-25",0
"2016-03-26",0
"2016-03-27",0
"2016-03-28",0
"2016-03-29",0
"2016-03-30",0.5359
"2016-03-31",0.6223
"2016-04-01",0.0302
"2016-04-02",0
"2016-04-03",0
"2016-04-04",0
"2016-04-05",0
"2016-04-06",0
"2016-04-07",0
"2016-04-08",0
"2016-04-09",0
"2016-04-10",0
"2016-04-11",0
"2016-04-12",0
"2016-04-13",0
"2016-04-14",0
"2016-04-15",0
"2016-04-16",4.9426
"2016-04-17",20.1786
"2016-04-18",15.8275
"2016-04-19",9.6471
"2016-04-20",2.1467
"2016-04-21",0
"2016-04-22",0
"2016-04-23",0
"2016-04-24",0
"2016-04-25",0
"2016-04-26",0.1072
"2016-04-27",0
"2016-04-28",0
"2016-04-29",0
"2016-04-30",0
"2016-05-01",0
"2016-05-02",1.2457
"2016-05-03",0.0312
"2016-05-04",0
"2016-05-05",0
"2016-05-06",0
"2016-05-07",0
"2016-05-08",0
"2016-05-09",0
"2016-05-10",0
"2016-05-11",0
"2016-05-12",0
"2016-05-13",0
"2016-05-14",0
"2016-05-15",0
"2016-05-16",0
"2016-05-17",0
"2016-05-18",0
"2016-05-19",0
"2016-05-20",0
"2016-05-21",0
"2016-05-22",0
"2016-05-23",0
"2016-05-24",0
"2016-05-25",0
"2016-05-26",0
"2016-05-27",0
"2016-05-28",0
"2016-05-29",0
"2016-05-30",0
"2016-05-31",0
"2016-06-01",0
"2016-06-02",0
"2016-06-03",0
"2016-06-04",0
"2016-06-05",0
"2016-06-06",0
"2016-06-07",0
"2016-06-08",0
"2016-06-09",0
"2016-06-10",0
"2016-06-11",0
"2016-06-12",0
"2016-06-13",0
"2016-06-14",0
"2016-06-15",0
"2016-06-16",0
"2016-06-17",0
"2016-06-18",0
"2016-06-19",0
"2016-06-20",0
"2016-06-21",0
"2016-06-22",0
"2016-06-23",0
"2016-06-24",0
"2016-06-25",0
"2016-06-26",0
"2016-06-27",0
"2016-06-28",0
"2016-06-29",0
"2016-06-30",0
"2016-07-01",0
"2016-07-02",0
"2016-07-03",0
"2016-07-04",0
"2016-07-05",0
"2016-07-06",0
"2016-07-07",0
"2016-07-08",0
"2016-07-09",0
"2016-07-10",0
"2016-07-11",0
"2016-07-12",0
"2016-07-13",0
"2016-07-14",0
"2016-07-15",0
"2016-07-16",0
"2016-07-17",0
"2016-07-18",0
"2016-07-19",0
"2016-07-20",0
"2016-07-21",0
"2016-07-22",0
"2016-07-23",0
"2016-07-24",0
"2016-07-25",0
"2016-07-26",0
"2016-07-27",0
"2016-07-28",0
"2016-07-29",0
"2016-07-30",0
